size,elapsed_time
10,9e-07
20,1.3e-06
30,1.8e-06
40,2.3e-06
50,3.6e-06
60,6.9e-06
70,1.05e-05
80,1.19e-05
90,1.2e-05
100,1.6e-05
110,1.82e-05
120,2.02e-05
130,1.8e-05
140,1.77e-05
150,2.37e-05
160,1.8e-05
170,1.87e-05
180,2.02e-05
190,2.2e-05
200,2.76e-05
210,2.69e-05
220,2.8e-05
230,2.61e-05
240,2.84e-05
250,2.45e-05
260,2.81e-05
270,3.2e-05
280,3.2e-05
290,3.32e-05
300,3.42e-05
310,3.74e-05
320,8.3e-05
330,4.43e-05
340,4.44e-05
350,4.63e-05
360,6.15e-05
370,5.25e-05
380,5.14e-05
390,6.32e-05
400,5.59e-05
410,5.68e-05
420,5.7e-05
430,6.7e-05
440,9.77e-05
450,8.44e-05
460,5.25e-05
470,5.76e-05
480,5.93e-05
490,6.2e-05
500,6.16e-05
510,7.09e-05
520,6.64e-05
530,7.78e-05
540,6.3e-05
550,0.0001075
560,7e-05
570,0.0001004
580,8.63e-05
590,7.21e-05
600,7.27e-05
610,7.45e-05
620,8.86e-05
630,8.5e-05
640,8.42e-05
650,9.11e-05
660,8.77e-05
670,9.21e-05
680,9e-05
690,8.78e-05
700,9.51e-05
710,9.82e-05
720,0.0001009
730,9.78e-05
740,0.0001021
750,0.0001096
760,0.0001096
770,0.0001256
780,0.0001144
790,0.0001189
800,0.0001172
810,0.000123
820,0.0001265
830,0.0001219
840,0.0001251
850,0.0001371
860,0.0001286
870,0.0001433
880,0.0001608
890,0.0001343
900,0.0001015
910,0.0001074
920,0.0001021
930,0.0001132
940,0.0001049
950,0.0001101
960,0.0001116
970,0.000118
980,0.0001243
990,0.0001399
1000,0.000125
