size,elapsed_time
10,2.54e-06
20,5.36e-06
30,8.11e-06
40,1.111e-05
50,1.61e-05
60,1.938e-05
70,2.016e-05
80,2.36e-05
90,2.885e-05
100,2.779e-05
110,3.154e-05
120,2.546e-05
130,1.656e-05
140,1.344e-05
150,1.24e-05
160,9.84e-06
170,1.101e-05
180,1.172e-05
190,1.253e-05
200,1.702e-05
210,1.461e-05
220,1.475e-05
230,1.554e-05
240,1.661e-05
250,1.7e-05
260,1.824e-05
270,1.94e-05
280,1.981e-05
290,2.041e-05
300,2.128e-05
310,2.242e-05
320,2.227e-05
330,2.31e-05
340,2.551e-05
350,2.521e-05
360,2.732e-05
370,2.679e-05
380,2.792e-05
390,2.785e-05
400,2.876e-05
410,3.017e-05
420,3.024e-05
430,3.073e-05
440,3.305e-05
450,3.306e-05
460,3.6e-05
470,3.737e-05
480,3.743e-05
490,3.885e-05
500,3.825e-05
